0;-1;0;24;4;2;-2;-1;0;1;-4;-21;1;2;1;1;-2;-3;9;3;-12;-8;-3;-3;-1;-2;9;4;-3;1;1;0;1;2;-14;-9;-10;0;0;1;-1;0;1;3;3;-4;-2;-2;0;0;5;44;24;14;4;-1;-3;-5;0;-7;-5;-1;-4;-2;2
-4;-1;27;13;5;1;2;-32;-6;-5;-8;-23;-11;-5;-5;32;2;2;-1;-2;2;0;2;-16;2;3;1;-5;-5;-4;1;10;1;-5;-22;0;7;2;3;32;-2;0;7;2;-1;-1;-1;-25;-3;-1;26;16;-5;-6;-5;-5;-1;-1;-10;-4;-3;9;0;-12;2
-2;0;0;11;-3;-3;-2;2;-2;-4;-12;-31;-4;1;4;3;-3;-4;-11;-8;-12;-5;-5;-1;-1;0;2;-8;3;2;0;-5;-1;-1;15;32;6;-2;-3;4;-2;-4;-14;-48;-12;-5;-2;-2;-1;-2;-1;3;-1;-1;0;-22;3;1;-21;-7;-5;-1;0;19;2
-2;0;24;25;-1;-1;0;6;-2;0;1;-11;9;1;-1;-8;-1;-1;7;-6;7;2;-1;1;-3;-3;1;15;8;1;-1;-18;-1;-1;-25;-11;1;1;-2;22;-1;0;25;28;0;-1;7;-4;-1;1;-8;-16;-1;-4;-4;-4;0;0;16;13;1;-2;-2;3;2
-3;-2;-8;-9;-10;-7;0;-2;-2;0;7;-1;9;7;-1;-5;-1;-1;-22;-4;3;-1;2;6;5;2;7;14;-6;-6;-1;19;-3;-3;-2;-17;-8;-2;-4;-15;-1;0;-1;2;-4;-3;-1;4;-1;-4;-8;-5;-2;-3;-2;-8;-2;0;10;0;4;1;-3;-5;2
-2;1;10;14;2;2;-2;1;2;0;-8;-11;1;-3;4;0;2;-1;-17;-10;-5;-5;-1;-2;-1;-1;-10;-34;1;0;-2;-3;-2;-1;32;49;4;0;-2;-2;0;0;-2;-20;-11;-5;-5;1;-1;-4;-2;5;3;2;1;-2;-4;1;-4;4;-8;-7;-3;-4;2
-3;-1;2;8;3;-4;-5;0;0;0;-4;-18;-4;-3;1;0;0;0;4;-1;4;2;-3;2;-2;-5;-11;-22;-11;-4;-4;-8;1;1;2;16;4;1;3;7;-4;-5;-23;-12;-3;0;-1;-6;-1;1;42;36;4;-1;-2;7;0;-1;-16;-22;-5;-1;1;-3;2
-1;-2;-7;-2;-9;-5;0;-6;1;2;1;11;3;1;-1;5;-2;-1;-7;-5;-4;-2;-2;-10;-2;-2;7;1;7;3;-1;-7;-3;-4;-17;-27;-1;0;1;3;-1;2;28;28;-5;-4;-4;-9;1;-1;-11;-10;1;2;3;10;0;-1;-11;-21;-8;1;-1;-6;2
-3;-3;11;12;-1;2;-3;3;4;3;30;17;7;1;2;16;-2;-4;-20;-20;1;-1;-2;-7;1;0;8;-4;-7;-4;-4;5;-1;-2;-2;3;2;-2;-3;-13;-3;-4;-3;17;2;3;-2;-3;-3;-3;-1;1;-11;-7;-5;6;0;0;12;31;10;1;3;-7;2
0;1;0;-5;4;3;-1;-3;-1;-1;-11;-9;2;-3;-2;0;-1;-1;-4;6;-5;0;0;-4;-1;-1;8;-4;1;2;1;13;-4;-2;1;-13;-3;-2;-2;-6;-2;-1;-4;13;-1;-1;0;-5;0;0;-12;-12;-5;0;0;4;-1;2;-1;-22;0;-3;-3;-17;2
2;0;11;14;-4;-3;-2;-3;0;1;3;-22;0;3;-1;0;-3;-1;12;22;-8;-6;-3;-2;-4;-2;0;-5;7;1;-1;3;-2;-2;-11;-32;-17;-5;0;-3;-1;0;-7;16;6;-1;-2;-4;-1;0;1;-4;-11;-6;0;1;-2;0;7;3;3;-2;-6;-27;2
-1;-1;29;21;7;0;-2;-5;-2;-3;-3;2;-3;-4;-3;-3;0;2;-5;6;-7;-5;-2;-2;0;-2;20;8;10;7;0;6;-1;-4;-24;-33;-14;-1;2;-3;-2;-2;-8;-12;5;0;-2;-26;-3;0;11;32;5;-1;1;31;1;-1;1;-1;-17;-4;1;3;2
-2;-5;-28;2;5;-3;-2;-5;1;-1;7;-16;3;3;2;5;-4;-2;9;24;1;-6;-5;-5;-2;-7;-33;-37;-9;-1;1;-3;-2;0;15;13;5;0;-2;-1;-2;0;6;15;-1;-1;-1;2;-1;-1;-8;-10;-11;-2;-2;-7;-2;-2;-8;14;17;0;-3;4;2
-1;1;5;-10;-7;-1;2;7;-2;-3;-14;4;5;-1;-1;-5;3;1;-6;-7;8;2;-1;2;-2;-3;-2;11;-8;-3;-4;-20;0;-1;-1;-34;-7;-2;0;33;0;-1;10;28;0;2;5;-6;0;-1;-7;-26;2;2;0;-6;-2;-2;-8;11;-1;-4;-3;1;2
-2;-3;-10;-22;2;0;-4;-7;-2;-2;6;34;1;-3;-4;-1;0;-2;-3;-17;0;3;4;-2;-3;-4;-50;-15;-6;-3;-1;-21;0;1;67;27;5;-2;-3;29;-3;-2;-11;26;-1;1;4;-11;0;2;17;13;-1;-3;-4;4;-2;-6;-34;-56;-9;-1;0;0;2
-2;-6;-1;-7;-3;-1;1;-3;-3;-2;-12;-6;-6;-3;-3;-15;-1;-3;-3;-29;-4;-1;0;1;-1;2;1;54;2;-1;0;11;2;-1;-7;-27;2;1;1;-7;-3;-3;-8;-14;5;-1;-3;-3;-1;-2;-7;3;4;2;1;3;0;0;18;25;-5;-3;0;-5;2
-2;-2;-2;10;-2;-4;1;-2;-1;1;2;-22;4;3;1;-3;0;-1;-8;-28;-9;-2;-2;1;-3;0;16;8;6;0;-1;2;-1;-2;3;1;-3;-2;-2;-2;-1;-5;-15;19;-5;-3;0;0;-1;0;18;9;4;0;-1;2;0;-1;-25;-55;-11;2;2;1;2
-1;-3;-33;-30;0;3;2;1;-1;1;36;33;4;2;0;-2;-5;-10;-22;-17;-11;-6;-4;-5;2;3;-9;-29;-10;-2;0;2;-3;-1;-5;-13;-2;1;-1;-3;-1;-3;-16;36;11;2;-1;-1;21;3;28;-1;-2;0;-1;-2;-21;-7;-13;-20;-11;-3;-1;-2;2
0;4;22;15;3;2;1;1;5;-6;22;32;2;-7;-7;-5;-12;-5;-33;-33;-14;-1;3;0;9;0;4;-6;-2;-3;-3;1;-3;-1;-16;-11;4;3;1;0;0;1;2;32;2;-2;-1;-1;10;3;25;29;-3;-4;-4;-5;-20;-1;-10;29;-3;-2;1;2;2
-26;-4;-11;-32;-6;-2;-1;-4;0;1;-6;-16;-6;-2;-1;-1;-5;-4;17;4;4;-1;-1;-1;-2;1;-14;-8;-2;3;0;1;15;2;11;23;-7;-2;-1;0;-6;-4;-10;-13;0;-1;-2;-3;0;-4;-16;9;-2;-2;-2;-1;-4;1;4;0;1;-3;0;-1;2
8;4;9;-11;9;4;0;0;-4;-2;6;7;-7;-4;-4;-4;3;-1;7;-5;-4;-3;0;-1;-7;-3;7;33;-2;-2;-1;-2;1;-2;-7;-28;6;0;0;0;4;-1;-16;-26;-2;3;0;2;-8;-6;2;6;1;-6;-6;-5;3;0;7;25;-4;-3;-1;-1;2
24;1;0;-10;-9;-1;-1;-1;-26;-3;6;10;5;-2;-2;-3;2;-3;-4;-6;-5;-2;-3;-2;1;-1;-16;-34;-4;0;-3;-1;-5;-2;24;44;-1;-4;0;-1;16;1;-5;-24;-5;0;-1;-1;-25;0;3;20;-5;-1;0;-1;-2;-3;-15;-11;-3;-1;-1;-3;2
