3;-2;1;8;1;2;-1;0;-3;1;-1;9;7;-2;1;-2;-3;-4;-14;-4;7;-2;1;-2;2;3;18;7;0;1;-4;0;-2;-4;-24;-15;-5;1;-3;-2;-4;-1;-4;19;13;-2;1;-4;-2;-4;21;-3;-8;-1;1;-2;0;0;-1;-5;5;-2;-3;-1;4
-1;9;21;15;12;1;-2;-2;-4;0;15;-2;-30;-5;1;-4;-8;-9;-20;-18;16;2;0;-4;7;0;-23;1;-14;-1;-2;-12;5;-2;6;11;13;3;3;28;-1;2;20;-4;-23;-10;-2;-5;2;-3;15;6;-2;0;-1;4;-4;-4;-25;3;4;1;-2;-3;4
-2;-5;-23;-35;-43;-7;-4;0;0;0;17;13;14;2;0;2;-2;0;13;12;-16;-6;-1;-7;-1;-2;-19;-3;6;-1;-2;-3;-1;-6;7;13;17;0;-3;-1;0;3;-6;-1;-4;-1;-1;3;-1;0;-3;5;1;0;-2;-5;1;0;-10;-29;-3;-3;-3;-1;4
-3;3;30;6;-11;-6;-3;-3;1;-2;-12;-3;9;2;1;1;1;3;-9;4;-13;-3;-1;0;-3;-8;-29;7;7;-2;0;0;-1;3;27;-15;5;0;0;-3;-1;0;-1;20;11;3;0;1;-7;-5;8;-32;-21;-5;-2;-1;0;1;-5;26;13;3;0;-4;4
-3;-2;-9;0;-4;0;1;-3;-1;-4;-20;10;18;3;1;0;-3;-1;2;-31;-37;-3;1;-3;-9;0;3;6;26;0;-5;-15;8;0;-10;-8;-16;-2;0;10;-1;-1;-8;-19;4;2;0;4;-1;0;18;18;8;-2;0;0;-3;-1;2;1;-5;-1;1;2;4
-1;0;-11;-12;-5;-2;-6;-1;-5;1;17;-9;-10;-4;-3;-6;-2;-5;-14;2;-1;0;-1;0;0;1;-6;-12;2;1;0;2;-2;-1;15;19;10;0;0;-3;-1;-3;-13;2;-4;-1;0;0;0;-2;-4;-17;7;-6;-4;1;1;1;0;-4;-25;-1;-2;1;4
-1;1;-18;9;9;-1;-1;-1;3;2;-2;1;4;1;-2;0;-2;2;14;-7;-13;-4;1;1;-1;-8;-27;9;5;6;2;1;-5;-1;19;-19;-6;-5;-3;-4;3;5;-4;-6;-4;-5;-1;1;-2;-2;-4;7;-5;1;-2;0;-3;-1;0;-1;6;0;0;-4;4
-1;-2;6;-17;-1;1;1;-6;-1;0;3;0;-23;-8;-3;1;0;1;17;14;23;1;1;-3;-1;-1;0;-7;-17;-3;-3;2;-3;-4;-9;0;-5;-1;-1;-2;-3;0;-4;5;6;0;-2;-4;0;-4;-13;-10;-7;-3;0;1;1;1;11;7;11;2;0;1;4
0;0;5;0;3;-4;-3;-4;-2;-3;-4;-2;-1;2;-2;-19;7;-2;-7;-6;-2;-2;0;27;-2;-1;-3;3;-5;-4;-2;-3;2;-6;-24;-19;5;3;2;1;-5;5;14;-4;-24;-11;-6;-4;-4;-2;-11;-12;5;4;1;-10;0;-2;-1;-18;-1;-2;-3;0;4
0;-3;4;1;0;1;-1;0;-2;-1;9;-5;9;0;1;2;-3;-6;-12;-6;27;6;0;-4;1;5;0;-4;-50;-11;-5;0;0;-1;-3;-8;-3;1;0;1;-3;-2;-3;-1;15;0;1;-1;-2;1;-6;-5;-22;-8;-4;-3;-1;-7;0;5;11;1;-2;0;4
